,2017_a,2050_a,Diff,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
10,2.872956454,3.203434206,0.010014477333333325,2.872956454,2.8829709313333334,2.8929854086666666,2.902999886,2.913014363333333,2.9230288406666665,2.9330433179999997,2.943057795333333,2.9530722726666663,2.9630867499999995,2.973101227333333,2.983115704666666,2.9931301819999994,3.0031446593333326,3.013159136666666,3.023173613999999,3.0331880913333324,3.0432025686666657,3.053217045999999,3.0632315233333323,3.0732460006666655,3.083260477999999,3.093274955333332,3.1032894326666653,3.1133039099999986,3.123318387333332,3.133332864666665,3.1433473419999984,3.1533618193333317,3.163376296666665,3.1733907739999982,3.1834052513333315,3.193419728666665,3.203434205999998
11,2.872956454,3.203577964,0.010018833636363631,2.872956454,2.8829752876363637,2.8929941212727273,2.903012954909091,2.9130317885454544,2.923050622181818,2.9330694558181816,2.943088289454545,2.9531071230909087,2.9631259567272723,2.973144790363636,2.9831636239999995,2.993182457636363,3.0032012912727266,3.01322012490909,3.0232389585454538,3.0332577921818173,3.043276625818181,3.0532954594545445,3.063314293090908,3.0733331267272717,3.0833519603636352,3.093370793999999,3.1033896276363624,3.113408461272726,3.1234272949090895,3.133446128545453,3.1434649621818167,3.1534837958181803,3.163502629454544,3.1735214630909074,3.183540296727271,3.1935591303636346,3.203577963999998
12,2.872956454,2.604652482,-0.008130423393939394,2.872956454,2.8648260306060607,2.8566956072121212,2.848565183818182,2.8404347604242424,2.832304337030303,2.8241739136363635,2.816043490242424,2.8079130668484846,2.799782643454545,2.7916522200606058,2.7835217966666663,2.775391373272727,2.7672609498787875,2.759130526484848,2.7510001030909086,2.742869679696969,2.7347392563030297,2.7266088329090903,2.718478409515151,2.7103479861212114,2.702217562727272,2.6940871393333325,2.685956715939393,2.6778262925454537,2.6696958691515142,2.661565445757575,2.6534350223636354,2.645304598969696,2.6371741755757565,2.629043752181817,2.6209133287878776,2.612782905393938,2.6046524819999988
13,2.872956454,3.152618471,0.008474606575757567,2.872956454,2.881431060575758,2.8899056671515155,2.8983802737272732,2.906854880303031,2.9153294868787887,2.9238040934545464,2.932278700030304,2.940753306606062,2.9492279131818195,2.9577025197575773,2.966177126333335,2.9746517329090927,2.9831263394848504,2.991600946060608,3.000075552636366,3.0085501592121235,3.0170247657878813,3.025499372363639,3.0339739789393967,3.0424485855151544,3.050923192090912,3.05939779866667,3.0678724052424275,3.0763470118181853,3.084821618393943,3.0932962249697007,3.1017708315454584,3.110245438121216,3.118720044696974,3.1271946512727316,3.1356692578484893,3.144143864424247,3.1526184710000047
14,0.0,2.612335396,0.07916167866666668,0.0,0.07916167866666668,0.15832335733333336,0.23748503600000004,0.3166467146666667,0.3958083933333334,0.4749700720000001,0.5541317506666668,0.6332934293333334,0.7124551080000001,0.7916167866666668,0.8707784653333335,0.9499401440000002,1.0291018226666668,1.1082635013333335,1.1874251800000002,1.2665868586666669,1.3457485373333335,1.4249102160000002,1.504071894666667,1.5832335733333336,1.6623952520000003,1.741556930666667,1.8207186093333336,1.8998802880000003,1.979041966666667,2.0582036453333337,2.137365324,2.216527002666667,2.295688681333334,2.374850360000001,2.4540120386666677,2.5331737173333346,2.6123353960000015
15,2.447255189,3.541865483,0.033170008909090914,2.447255189,2.4804251979090908,2.5135952068181817,2.5467652157272727,2.5799352246363636,2.6131052335454545,2.6462752424545455,2.6794452513636364,2.7126152602727274,2.7457852691818183,2.7789552780909093,2.812125287,2.845295295909091,2.878465304818182,2.911635313727273,2.944805322636364,2.977975331545455,3.011145340454546,3.044315349363637,3.0774853582727277,3.1106553671818187,3.1438253760909096,3.1769953850000006,3.2101653939090915,3.2433354028181824,3.2765054117272734,3.3096754206363643,3.3428454295454553,3.376015438454546,3.409185447363637,3.442355456272728,3.475525465181819,3.50869547409091,3.541865483000001
16,2.447255189,3.65692661,0.03665670972727274,2.447255189,2.4839118987272726,2.5205686084545453,2.557225318181818,2.593882027909091,2.6305387376363636,2.6671954473636363,2.703852157090909,2.740508866818182,2.7771655765454546,2.8138222862727273,2.850478996,2.887135705727273,2.9237924154545456,2.9604491251818184,2.997105834909091,3.033762544636364,3.0704192543636366,3.1070759640909094,3.143732673818182,3.180389383545455,3.2170460932727276,3.2537028030000004,3.290359512727273,3.327016222454546,3.3636729321818186,3.4003296419090914,3.436986351636364,3.473643061363637,3.5102997710909096,3.5469564808181824,3.583613190545455,3.620269900272728,3.6569266100000006
17,2.447255189,3.59803142,0.034872007000000003,2.447255189,2.482127196,2.516999203,2.5518712100000003,2.5867432170000004,2.6216152240000006,2.6564872310000007,2.691359238000001,2.726231245000001,2.761103252000001,2.7959752590000013,2.8308472660000015,2.8657192730000016,2.9005912800000018,2.935463287000002,2.970335294000002,3.005207301000002,3.0400793080000024,3.0749513150000025,3.1098233220000027,3.144695329000003,3.179567336000003,3.214439343000003,3.2493113500000033,3.2841833570000034,3.3190553640000036,3.3539273710000037,3.388799378000004,3.423671385000004,3.458543392000004,3.4934153990000043,3.5282874060000045,3.5631594130000046,3.5980314200000048
18,2.447255189,3.611035635,0.035266074121212125,2.447255189,2.482521263121212,2.5177873372424244,2.5530534113636367,2.588319485484849,2.6235855596060613,2.6588516337272736,2.694117707848486,2.729383781969698,2.7646498560909105,2.799915930212123,2.835182004333335,2.8704480784545474,2.9057141525757597,2.940980226696972,2.9762463008181843,3.0115123749393966,3.046778449060609,3.082044523181821,3.1173105973030335,3.152576671424246,3.187842745545458,3.2231088196666704,3.2583748937878827,3.293640967909095,3.3289070420303073,3.3641731161515196,3.399439190272732,3.434705264393944,3.4699713385151565,3.505237412636369,3.540503486757581,3.5757695608787934,3.6110356350000057
19,2.447255189,3.518751994,0.032469600151515156,2.447255189,2.479724789151515,2.51219438930303,2.544663989454545,2.57713358960606,2.609603189757575,2.64207278990909,2.674542390060605,2.70701199021212,2.739481590363635,2.77195119051515,2.804420790666665,2.83689039081818,2.869359990969695,2.90182959112121,2.934299191272725,2.96676879142424,2.999238391575755,3.03170799172727,3.064177591878785,3.0966471920303,3.129116792181815,3.16158639233333,3.194055992484845,3.22652559263636,3.258995192787875,3.29146479293939,3.323934393090905,3.35640399324242,3.388873593393935,3.42134319354545,3.453812793696965,3.48628239384848,3.518751993999995
20,2.447255189,3.569896449,0.03401943212121212,2.447255189,2.4812746211212118,2.5152940532424237,2.5493134853636357,2.5833329174848476,2.6173523496060596,2.6513717817272715,2.6853912138484834,2.7194106459696954,2.7534300780909073,2.7874495102121193,2.8214689423333312,2.855488374454543,2.889507806575755,2.923527238696967,2.957546670818179,2.991566102939391,3.025585535060603,3.059604967181815,3.093624399303027,3.1276438314242387,3.1616632635454507,3.1956826956666626,3.2297021277878746,3.2637215599090865,3.2977409920302985,3.3317604241515104,3.3657798562727224,3.3997992883939343,3.4338187205151462,3.467838152636358,3.50185758475757,3.535877016878782,3.569896448999994
21,0.0,3.441992287,0.10430279657575758,0.0,0.10430279657575758,0.20860559315151517,0.31290838972727275,0.41721118630303033,0.5215139828787879,0.6258167794545455,0.7301195760303031,0.8344223726060607,0.9387251691818183,1.0430279657575758,1.1473307623333335,1.251633558909091,1.3559363554848485,1.460239152060606,1.5645419486363634,1.668844745212121,1.7731475417878784,1.8774503383636358,1.9817531349393933,2.086055931515151,2.1903587280909083,2.2946615246666657,2.398964321242423,2.5032671178181807,2.607569914393938,2.7118727109696956,2.816175507545453,2.9204783041212106,3.024781100696968,3.1290838972727255,3.233386693848483,3.3376894904242405,3.441992286999998
22,0.0,3.429293636,0.10391798896969698,0.0,0.10391798896969698,0.20783597793939396,0.31175396690909096,0.4156719558787879,0.5195899448484849,0.6235079338181818,0.7274259227878788,0.8313439117575757,0.9352619007272727,1.0391798896969697,1.1430978786666668,1.2470158676363639,1.350933856606061,1.454851845575758,1.558769834545455,1.662687823515152,1.7666058124848492,1.8705238014545462,1.9744417904242433,2.0783597793939403,2.182277768363637,2.286195757333334,2.390113746303031,2.4940317352727277,2.5979497242424245,2.7018677132121214,2.805785702181818,2.909703691151515,3.013621680121212,3.1175396690909087,3.2214576580606056,3.3253756470303024,3.4292936359999993
23,0.0,3.428096713,0.10388171857575758,0.0,0.10388171857575758,0.20776343715151516,0.31164515572727275,0.4155268743030303,0.5194085928787879,0.6232903114545455,0.7271720300303031,0.8310537486060606,0.9349354671818182,1.0388171857575759,1.1426989043333335,1.2465806229090912,1.350462341484849,1.4543440600606066,1.5582257786363642,1.662107497212122,1.7659892157878796,1.8698709343636373,1.973752652939395,2.0776343715151526,2.18151609009091,2.2853978086666675,2.389279527242425,2.4931612458181824,2.59704296439394,2.7009246829696973,2.804806401545455,2.9086881201212123,3.0125698386969697,3.116451557272727,3.2203332758484846,3.324214994424242,3.4280967129999995
